name,genre,year,duration,rating,director,language
The Dark Knight,Action,2008,152,9.0,Christopher Nolan,English
Inception,Science Fiction,2010,148,8.8,Christopher Nolan,English
Pulp Fiction,Crime,1994,154,8.9,Quentin Tarantino,English
Fight Club,Drama,1999,139,8.8,David Fincher,English
Forrest Gump,Drama,1994,142,8.8,Robert Zemeckis,English
The Matrix,Science Fiction,1999,136,8.7,The Wachowskis,English
Goodfellas,Crime,1990,146,8.7,Martin Scorsese,English
The Shawshank Redemption,Drama,1994,142,9.3,Frank Darabont,English
The Godfather,Crime,1972,175,9.2,Francis Ford Coppola,English
The Silence of the Lambs,Thriller,1991,118,8.6,Jonathan Demme,English
Star Wars: A New Hope,Science Fiction,1977,121,8.6,George Lucas,English
The Lord of the Rings: The Fellowship of the Ring,Fantasy,2001,178,8.8,Peter Jackson,English
Gladiator,Action,2000,155,8.5,Ridley Scott,English
Saving Private Ryan,War,1998,169,8.6,Steven Spielberg,English
The Departed,Crime,2006,151,8.5,Martin Scorsese,English
The Prestige,Thriller,2006,130,8.5,Christopher Nolan,English
Interstellar,Science Fiction,2014,169,8.6,Christopher Nolan,English
The Avengers,Action,2012,143,8.0,Joss Whedon,English
Django Unchained,Western,2012,165,8.4,Quentin Tarantino,English
The Wolf of Wall Street,Comedy,2013,180,8.2,Martin Scorsese,English
Mad Max: Fury Road,Action,2015,120,8.1,George Miller,English
The Revenant,Adventure,2015,156,8.0,Alejandro G. Iñárritu,English
Gravity,Science Fiction,2013,91,7.7,Alfonso Cuarón,English
La La Land,Music,2016,128,8.0,Damien Chazelle,English
Whiplash,Drama,2014,106,8.5,Damien Chazelle,English
Birdman,Comedy,2014,119,7.7,Alejandro G. Iñárritu,English
The Grand Budapest Hotel,Comedy,2014,99,8.1,Wes Anderson,English
Arrival,Science Fiction,2016,116,7.9,Denis Villeneuve,English
Blade Runner 2049,Science Fiction,2017,164,8.0,Denis Villeneuve,English
Get Out,Horror,2017,104,7.7,Jordan Peele,English
A Quiet Place,Horror,2018,90,7.5,John Krasinski,English
Black Panther,Action,2018,134,7.3,Ryan Coogler,English
Joker,Drama,2019,122,8.4,Todd Phillips,English
Parasite,Thriller,2019,132,8.6,Bong Joon Ho,English
1917,War,2019,119,8.3,Sam Mendes,English
Once Upon a Time in Hollywood,Comedy,2019,161,7.6,Quentin Tarantino,English
Tenet,Science Fiction,2020,150,7.4,Christopher Nolan,English
Dune,Science Fiction,2021,155,8.0,Denis Villeneuve,English
No Time to Die,Action,2021,163,7.3,Cary Joji Fukunaga,English
The Batman,Action,2022,176,7.8,Matt Reeves,English
Top Gun: Maverick,Action,2022,130,8.2,Joseph Kosinski,English
Everything Everywhere All at Once,Science Fiction,2022,139,7.8,The Daniels,English
Oppenheimer,History,2023,180,8.3,Christopher Nolan,English
John Wick,Action,2014,101,7.4,Chad Stahelski,English
John Wick: Chapter 2,Action,2017,122,7.5,Chad Stahelski,English
John Wick: Chapter 3,Action,2019,131,7.4,Chad Stahelski,English
Deadpool,Action,2016,108,8.0,Tim Miller,English
Deadpool 2,Action,2018,119,7.7,David Leitch,English
Logan,Action,2017,137,8.1,James Mangold,English
The Dark Knight Rises,Action,2012,164,8.4,Christopher Nolan,English
Iron Man,Action,2008,126,7.9,Jon Favreau,English
Captain America: The Winter Soldier,Action,2014,136,7.8,Anthony and Joe Russo,English
Guardians of the Galaxy,Action,2014,121,8.0,James Gunn,English
Thor: Ragnarok,Action,2017,130,7.9,Taika Waititi,English
Black Widow,Action,2021,134,6.7,Cate Shortland,English
Spider-Man: No Way Home,Action,2021,148,8.2,Jon Watts,English
The Suicide Squad,Action,2021,132,7.2,James Gunn,English
The Northman,Action,2022,137,7.1,Robert Eggers,English
Bullet Train,Action,2022,126,7.3,David Leitch,English
The Gray Man,Action,2022,129,6.5,Anthony and Joe Russo,English
The Tomorrow War,Science Fiction,2021,138,6.6,Chris McKay,English
Free Guy,Comedy,2021,115,7.1,Shawn Levy,English
Red Notice,Action,2021,118,6.3,Rawson Marshall Thurber,English
The King's Man,Action,2021,131,6.3,Matthew Vaughn,English
Uncharted,Adventure,2022,116,6.3,Ruben Fleischer,English
The Lost City,Adventure,2022,112,6.1,Aaron Nee,English
Jurassic World Dominion,Adventure,2022,147,5.7,Colin Trevorrow,English
Doctor Strange in the Multiverse of Madness,Action,2022,126,6.9,Sam Raimi,English
Thor: Love and Thunder,Action,2022,119,6.2,Taika Waititi,English
Lightyear,Science Fiction,2022,105,6.1,Angus MacLane,English
Elvis,Music,2022,159,7.3,Baz Luhrmann,English
Nope,Horror,2022,135,6.8,Jordan Peele,English
The Black Phone,Horror,2021,102,7.0,Scott Derrickson,English
Smile,Horror,2022,115,6.5,Parker Finn,English
Barbarian,Horror,2022,102,7.0,Zach Cregger,English
X,Horror,2022,106,6.6,Ti West,English
Pearl,Horror,2022,102,7.4,Ti West,English
The Menu,Horror,2022,107,7.2,Mark Mylod,English
